conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1965648934388244962,Wed Sep 10 05:35:37 +0000 2025,1,@detikcom Ati-ati buat keluarga mulyono dan pemujanya,1965650346220654693,,detikcom,in,,0,2,0,https://x.com/undefined/status/1965650346220654693,1766477518784380928,
1965419402637320398,Wed Sep 10 05:00:11 +0000 2025,0,@itsquaileggs Sementara kalau di Indon si Mulyono jancok sama diktator Prabowo malah makin disepong-sepong lebih dari lonte padahal belum tentu dibayar juga.,1965641431906935247,,itsquaileggs,in,,0,0,0,https://x.com/undefined/status/1965641431906935247,1272588709016174593,
1965585523713675345,Wed Sep 10 04:59:08 +0000 2025,0,@Mdy_Asmara1701 Di sini mulyono aman-aman aja. Bahkan masih bisa memaksakan anaknya yg bodoh utk jadi tanggungan negara yg digaji dari duit pajak rakyat.,1965641164331290774,,Mdy_Asmara1701,in,,0,0,0,https://x.com/undefined/status/1965641164331290774,1895120788216520705,
1965565272020111836,Wed Sep 10 04:58:23 +0000 2025,2,@Naz_lira Yaelah saya yg org awam aja tau! Gak perlu dah anak pejabat yg punya akses intelejen dr koneksi bapaknya. Orang2 spt mulyani dan mulyono itu bossnya beda! Bukan rakyat Indonesia! Mereka mengabdi tuk jalankan kepentingan tuannya. Dan berhasil! Terlalu banyak pengkhianat!,1965640975918997672,,Naz_lira,in,,0,0,0,https://x.com/undefined/status/1965640975918997672,1847164413704654848,
1965409924969861485,Wed Sep 10 04:57:31 +0000 2025,0,@Jayabay19479190 Penipu itu bernama Si Raja Ngibull Paulus Mulyono sudah terbukti menyesatkan banyak orang,1965640757198676190,,Jayabay19479190,in,,0,0,0,https://x.com/undefined/status/1965640757198676190,1732243827489218560,
1965639383643816425,Wed Sep 10 04:54:09 +0000 2025,0,@KompasTV Saya Ridwan Kamil !! Ttd Mulyono,1965639911358513306,,KompasTV,in,,0,0,0,https://x.com/undefined/status/1965639911358513306,138739459,
1965594571779485953,Wed Sep 10 04:53:31 +0000 2025,0,@NenkMonica @prabowo @rafi_nagita Cucian bisa ga kering dounkk.. kasihan mulyono.. !!!,1965639752784511450,,NenkMonica,in,,0,0,0,https://x.com/undefined/status/1965639752784511450,1746192440867074048,
1965561003787387213,Wed Sep 10 04:51:39 +0000 2025,0,@CEPH2312 @cutsarina5 @prabowo PAYAH JADI MAINAN TERMUL KARENA PENGGIRINGAN OPINI ... TAK SADAR KALIAN AKAN JADI BONEKA SULUTAN MEREKA. CELOTEHAN BOCIL MENGALAHKAN PENDIRIAN TUK KERANGKENG MULYONO. ANGIN-ANGINAN TIDAK MAMPU TUK BERSIKAP PD KEPUTUSAN = MUDAH TERBAWA ARUS.,1965639283542499416,,bensXatria,in,,0,1,0,https://x.com/undefined/status/1965639283542499416,4487703920,
1965068764934025527,Wed Sep 10 04:50:58 +0000 2025,0,@tembokputtih @YooStoleMaHeart @keboydayaan @radicalcox_21 iye bg sepong juga mulyono nya,1965639111039221859,,tembokputtih,in,,0,0,0,https://x.com/undefined/status/1965639111039221859,1872421643903291392,
1965636180109918415,Wed Sep 10 04:49:45 +0000 2025,0,Salah satu dari dua orang putra-putri terbaik bangsa yg jenius tapi berhati busuk yg ngebacking si planga plongo ijazah palsu otak seadanya kek si Mulyono bisa sampe bikin kerajaan Oslo. (Satunya lagi ya si Luhut),1965638802703270238,,ileeperlee,in,,0,1,1,https://x.com/undefined/status/1965638802703270238,38857567,
1965555905426252038,Wed Sep 10 04:48:21 +0000 2025,1,@midhangste @msaid_didu Bukannya kebalik justru dia yg ngarahin Mulyono?,1965638454248931819,,midhangste,in,,0,2,0,https://x.com/undefined/status/1965638454248931819,1345767247051071492,
1965638291728089368,Wed Sep 10 04:47:43 +0000 2025,0,Kalo lu ga ternak mulyono lu ga bakal di perbudak,1965638291728089368,,,in,,0,0,0,https://x.com/undefined/status/1965638291728089368,1448415182,
1965638151453770214,Wed Sep 10 04:47:09 +0000 2025,0,Setelah yg katanya candaan Agen CIA skr malah Sebut TERNAK MULYONO' bagaimana anak seorang Menteri punya rasa benci kepada Mantan Presiden yg harusnya dia hormati sebagai anak ASN,1965638151453770214,,,in,,0,0,0,https://x.com/undefined/status/1965638151453770214,230129714,
1965368822103507223,Wed Sep 10 01:30:14 +0000 2025,0,@blackshark7890 Mahasiswa cinta mulyono dan gibran . Buktinya gak nuntut adili mulyono n makzulkan gibran. Eh iya kalo jaket kuning kan ada dedemgkot buzzer yg jadi guru besar dan pernah di gebukan massa di depan dpr. Baru jd komisaris bumn eh lgs di hapus tantiem.,1965588595022201343,,blackshark7890,in,,0,0,0,https://x.com/undefined/status/1965588595022201343,1429388355813330948,
1965318570822553868,Wed Sep 10 01:30:05 +0000 2025,0,@jvstforvan @Txtdariiugm Istilah jadoelnya: Mulyono Was Here. ,1965588555398611117,,jvstforvan,in,,0,0,0,https://x.com/undefined/status/1965588555398611117,137306133,
1965588473345347585,Wed Sep 10 01:29:45 +0000 2025,0,Kalo mulyono diginiin sih gpp tp ini prabski bro. Peluru beneran bisa melayang ,1965588473345347585,,,in,,0,0,0,https://x.com/undefined/status/1965588473345347585,1794123706081660928,
1965009509967093984,Wed Sep 10 01:27:15 +0000 2025,0,@rckz_fc @unmagnetism Hahahaha emang kualitas kodok ternakan mulyono kayak lu itu kayak apa? Tuh cari kolam yg agak adem biar kepala lu kagak botak duluan,1965587842345975965,,rckz_fc,in,,0,1,0,https://x.com/undefined/status/1965587842345975965,1163573125562290177,
